City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
26,Vanavara,RU,2022-04-14 08:19:51,60.34,102.2797,42.33,73,100,15.73
27,New Norfolk,AU,2022-04-14 08:19:52,-42.7826,147.0587,62.65,53,100,2.24
28,Sioux Lookout,CA,2022-04-14 08:15:14,50.1001,-91.917,24.87,86,100,11.5
29,Westport,US,2022-04-14 08:15:56,41.1415,-73.3579,59.41,92,0,3.44
30,Ahipara,NZ,2022-04-14 08:19:53,-35.1667,173.1667,57.83,74,63,8.63
31,Jamestown,US,2022-04-14 08:19:54,42.097,-79.2353,63.99,60,40,8.05
32,Yellowknife,CA,2022-04-14 08:19:54,62.456,-114.3525,-4.45,84,0,5.75
33,Nikolskoye,RU,2022-04-14 08:19:55,59.7035,30.7861,46.87,61,100,4.27
34,Saldanha,ZA,2022-04-14 08:19:55,-33.0117,17.9442,62.62,80,100,19.89
35,Milazzo,IT,2022-04-14 08:19:56,38.2212,15.2383,64.78,53,100,13.0
36,Kavieng,PG,2022-04-14 08:19:57,-2.5744,150.7967,83.75,73,62,10.87
37,Portland,US,2022-04-14 08:16:37,45.5234,-122.6762,37.38,91,100,4.61
38,Manaure,CO,2022-04-14 08:19:57,11.7751,-72.4445,77.54,77,29,14.92
39,Kibre Mengist,ET,2022-04-14 08:19:58,5.8833,38.9833,79.81,41,41,6.89
40,Kapaa,US,2022-04-14 08:18:42,22.0752,-159.319,74.12,83,100,18.41
41,East London,ZA,2022-04-14 08:19:28,-33.0153,27.9116,68.94,83,40,8.05
42,Kruisfontein,ZA,2022-04-14 08:19:59,-34.0033,24.7314,67.89,67,90,13.29
43,Codrington,AU,2022-04-14 08:20:00,-38.2667,141.9667,61.95,65,100,6.91
44,Birzai,LT,2022-04-14 08:20:00,56.2,24.75,49.71,58,100,9.8
45,Alofi,NU,2022-04-14 08:20:01,-19.0595,-169.9187,75.09,94,25,1.14
46,Lata,PT,2022-04-14 08:20:02,40.1629,-8.3327,55.99,75,49,3.67
47,Airai,TL,2022-04-14 08:20:02,-8.9266,125.4092,66.94,89,83,2.13
48,De-Kastri,RU,2022-04-14 08:21:03,51.4667,140.7833,29.71,95,100,5.61
49,Avarua,CK,2022-04-14 08:21:04,-21.2078,-159.775,77.05,94,40,1.14
50,Port Alfred,ZA,2022-04-14 08:21:05,-33.5906,26.891,71.19,80,100,3.0
51,Castro,BR,2022-04-14 08:17:15,-24.7911,-50.0119,62.53,96,98,0.63
52,Nelson Bay,AU,2022-04-14 08:21:06,-32.7167,152.15,71.01,76,3,10.09
53,Martapura,ID,2022-04-14 08:21:06,-3.4167,114.85,87.89,70,40,6.91
54,Geraldton,AU,2022-04-14 08:17:08,-28.7667,114.6,77.41,57,0,20.71
55,Qaanaaq,GL,2022-04-14 08:21:07,77.484,-69.3632,-7.76,94,100,3.11
56,Hamilton,US,2022-04-14 08:21:04,39.1834,-84.5333,53.98,93,100,19.57
57,San Quintin,MX,2022-04-14 08:21:08,30.4833,-115.95,56.57,76,83,11.21
58,Ranong,TH,2022-04-14 08:21:08,9.9658,98.6348,89.53,61,39,9.91
59,Kaitangata,NZ,2022-04-14 08:21:09,-46.2817,169.8464,52.03,87,99,4.94
60,Mahebourg,MU,2022-04-14 08:21:09,-20.4081,57.7,84.25,78,75,17.27
61,Bafra,TR,2022-04-14 08:21:10,41.5678,35.9069,55.31,59,100,5.68
62,Luderitz,NA,2022-04-14 08:21:10,-26.6481,15.1594,66.16,63,5,9.75
63,Milkovo,RU,2022-04-14 08:21:11,54.7167,158.6167,31.33,71,100,5.12
64,Acajutla,SV,2022-04-14 08:21:12,13.5928,-89.8275,80.33,79,80,6.13
65,Puerto Ayora,EC,2022-04-14 08:21:12,-0.7393,-90.3518,75.6,91,71,6.78
66,Arraial Do Cabo,BR,2022-04-14 08:21:13,-22.9661,-42.0278,77.16,87,99,14.9
